node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Ahr,424,0.32309,44,57,76.114,1,0.25,334.08333,4.97678,696.41463,38536
Zbtb7a,681,0.62711,41,51,79.776,1,0.25,324.91667,4.89783,431.2716,28710
Gbx2,7,0.46346,3,7,12.682,1,0.2,280.03333,4.58359,30.9517,2008
Insm1,20,0.25128,16,25,36.23,1,0.2,293.95,4.67028,284.21924,9484
E2f1,7,0.30779,2,12,17.399,1,0.2,255.86667,4.35913,51.33618,2060
Nfat5,119,0.29205,39,52,68.922,2,0.25,324.58333,4.90093,510.59318,22190
Egr4,43,0.28334,17,23,42.063,1,0.2,288.45,4.62384,67.36139,4328
Egr3,784,0.5269,57,83,112.541,1,0.2,332.45,4.9195,769.05276,44540
Egr2,75,0.47013,18,24,38.84,1,0.2,291.95,4.6548,106.17568,5532
Pax3,21,0.26242,8,13,19.848,1,0.2,268.86667,4.46904,63.755,2082
Znf281,358,0.27722,46,51,74.147,1,0.25,328.75,4.92105,483.51634,27710
Wt1,1582,0.33056,95,162,144.616,2,0.25,361.91667,5.07121,4736.52714,253578
